turnstile,gtfs_static
HOYT-SCHER,Hoyt - Schermerhorn Sts
HOWARD BCH JFK,Howard Beach - JFK Airport
HUNTERS PT AV,Hunters Point Av
HARLEM 148 ST,Harlem - 148 St
GRD CNTRL-42 ST,Grand Central - 42 St
INWOOD-207 ST,Inwood - 207 St
GRAND-NEWTOWN,Grand Av - Newtown
JAMAICA 179 ST,Jamaica - 179 St
JAMAICA CENTER,Jamaica Center - Parsons/Archer
JAMAICA VAN WK,Jamaica - Van Wyck
JAY ST-METROTEC,Jay St - MetroTech
GRAND ARMY PLAZ,Grand Army Plaza
JFK JAMAICA CT1,null
JKSN HT-ROOSVLT,Jackson Hts - Roosevelt Av
FT HAMILTON PKY,Fort Hamilton Pkwy
FOREST HILLS 71,Forest Hills - 71 Av
KEW GARDENS,Kew Gardens - Union Tpke
FOREST AVE,Forest Av
FLUSHING-MAIN,Flushing - Main St
FLATBUSH AV-B.C,Flatbush Av - Brooklyn College
KINGSTON-THROOP,Kingston - Throop Avs
KNICKERBOCKER,Knickerbocker Av
FAR ROCKAWAY,Far Rockaway - Mott Av
EASTN PKWY-MUSM,Eastern Pkwy - Brooklyn Museum
LEXINGTON AV/53,Lexington Av/53 St
LEXINGTON AV/63,Lexington Av/63 St
EASTCHSTER/DYRE,Eastchester - Dyre Av
EAST 105 ST,E 105 St
E 143/ST MARY'S,E 143 St - St Mary's St
DELANCEY/ESSEX,Delancey St - Essex St
MARBLE HILL-225,Marble Hill - 225 St
CROWN HTS-UTICA,Crown Hts - Utica Av
COURT SQ-23 ST,Court Sq - 23 St
METS-WILLETS PT,Mets - Willets Point
CONEY IS-STILLW,Coney Island - Stillwell Av
CLINTON-WASH AV,Clinton - Washington Avs
CHRISTOPHER ST,Christopher St - Sheridan Sq
MORISN AV/SNDVW,Morrison Av- Sound View
103 ST-CORONA,103 St - Corona Plaza
116 ST-COLUMBIA,116 St - Columbia University
CENTRAL PK N110,Central Park North (110 St)
137 ST CITY COL,137 St - City College
MYRTLE-WILLOUGH,Myrtle - Willoughby Avs
MYRTLE-WYCKOFF,Myrtle - Wyckoff Avs
CATHEDRAL PKWY,Cathedral Pkwy (110 St)
NASSAU ST,Nassau
138/GRAND CONC,138 St - Grand Concourse
149/GRAND CONC,149 St - Grand Concourse
CANARSIE-ROCKAW,Canarsie - Rockaway Pkwy
14 ST-UNION SQ,Union Sq - 14 St
B'WAY-LAFAYETTE,Broadway-Lafayette St
BUSHWICK AV,Bushwick Av - Aberdeen St
NEW LOTS,New Lots Av
15 ST-PROSPECT,15 St - Prospect Park
161/YANKEE STAD,161 St - Yankee Stadium
163 ST-AMSTERDM,163 St - Amsterdam Av
NORWOOD 205 ST,Norwood - 205 St
BROOKLYN BRIDGE,Brooklyn Bridge - City Hall
21 ST-QNSBRIDGE,21 St - Queensbridge
33 ST-RAWSON ST,33 St - Rawson St
ORCHARD BEACH,null
OZONE PK LEFFRT,Ozone Park - Lefferts Blvd
34 ST-HERALD SQ,34 St - Herald Sq
PARK PLACE,Park Pl
34 ST-HUDSON YD,34 St - Hudson Yds
34 ST-PENN STA,34 St - Penn Station
39 AV,39 Av - Dutch Kills
3 AV 138 ST,3 Av - 138 St
3 AV-149 ST,3 Av - 149 St
40 ST LOWERY ST,40 St - Lowery St
42 ST-BRYANT PK,42 St - Bryant Pk
42 ST-PORT AUTH,42 St - Port Authority Bus Terminal
46 ST BLISS ST,46 St - Bliss St
QUEENSBORO PLZ,Queensboro Plaza
47-50 STS ROCK,47-50 Sts - Rockefeller Ctr
4 AV-9 ST,4 Av - 9 St
BEVERLEY ROAD,Beverley Rd
4AV-9 ST,4 Av - 9 St
BEDFORD PK BLVD,Bedford Park Blvd
ROCKAWAY PARK B,Rockaway Park - Beach 116 St
ROOSEVELT ISLND,Roosevelt Island
BEDFORD-NOSTRAN,Bedford - Nostrand Avs
SENECA AVE,Seneca Av
57 ST-7 AV,57 St - 7 Av
59 ST COLUMBUS,59 St - Columbus Circle
5 AVE,5 Av
SMITH-9 ST,Smith - 9 Sts
61 ST WOODSIDE,Woodside - 61 St
63 DR-REGO PARK,63 Dr - Rego Park
66 ST-LINCOLN,66 St - Lincoln Center
68ST-HUNTER CO,68 St - Hunter College
72 ST-2 AVE,72 St
SUTPHIN-ARCHER,Sutphin Blvd - Archer Av - JFK Airport
74 ST-BROADWAY,74 St - Broadway
75 ST-ELDERTS,75 St - Elder Ln
SUTTER AV-RUTLD,Sutter Av - Rutland Rd
TIMES SQ-42 ST,Times Sq - 42 St
BAY RIDGE-95 ST,Bay Ridge - 95 St
81 ST-MUSEUM,81 St - Museum of Natural History
82 ST-JACKSON H,82 St - Jackson Hts
85 ST-FOREST PK,85 St - Forest Pkwy
VAN SICLEN AVE,Van Siclen Av
