station_name,neighborhood,borough,borough_code
238 St,Spuyten Duyvil-Kingsbridge,Bronx,2
231 St,Spuyten Duyvil-Kingsbridge,Bronx,2
Dyckman St,Washington Heights North,Manhattan,1
191 St,Washington Heights North,Manhattan,1
181 St,Washington Heights North,Manhattan,1
168 St - Washington Hts,Washington Heights South,Manhattan,1
157 St,Washington Heights South,Manhattan,1
145 St,Hamilton Heights,Manhattan,1
137 St - City College,Manhattanville,Manhattan,1
125 St,Morningside Heights,Manhattan,1
116 St - Columbia University,Morningside Heights,Manhattan,1
Cathedral Pkwy (110 St),Morningside Heights,Manhattan,1
103 St,Upper West Side,Manhattan,1
96 St,Upper West Side,Manhattan,1
86 St,Upper West Side,Manhattan,1
79 St,Upper West Side,Manhattan,1
72 St,Lincoln Square,Manhattan,1
66 St - Lincoln Center,Lincoln Square,Manhattan,1
59 St - Columbus Circle,Lincoln Square,Manhattan,1
50 St,Midtown-Midtown South,Manhattan,1
Times Sq - 42 St,Midtown-Midtown South,Manhattan,1
34 St - Penn Station,Midtown-Midtown South,Manhattan,1
28 St,Midtown-Midtown South,Manhattan,1
23 St,Hudson Yards-Chelsea-Flatiron-Union Square,Manhattan,1
18 St,Hudson Yards-Chelsea-Flatiron-Union Square,Manhattan,1
14 St,West Village,Manhattan,1
Christopher St - Sheridan Sq,West Village,Manhattan,1
Houston St,SoHo-TriBeCa-Civic Center-Little Italy,Manhattan,1
Canal St,SoHo-TriBeCa-Civic Center-Little Italy,Manhattan,1
Franklin St,SoHo-TriBeCa-Civic Center-Little Italy,Manhattan,1
Chambers St,SoHo-TriBeCa-Civic Center-Little Italy,Manhattan,1
Wakefield - 241 St,Woodlawn-Wakefield,Bronx,2
Nereid Av,Woodlawn-Wakefield,Bronx,2
233 St,Williamsbridge-Olinville,Bronx,2
225 St,Williamsbridge-Olinville,Bronx,2
219 St,Williamsbridge-Olinville,Bronx,2
Gun Hill Rd,Williamsbridge-Olinville,Bronx,2
Burke Av,Bronxdale,Bronx,2
Allerton Av,Bronxdale,Bronx,2
Pelham Pkwy,Pelham Parkway,Bronx,2
Bronx Park East,East Tremont,Bronx,2
E 180 St,East Tremont,Bronx,2
West Farms Sq - E Tremont Av,East Tremont,Bronx,2
174 St,Crotona Park East,Bronx,2
Freeman St,Morrisania-Melrose,Bronx,2
Simpson St,Hunts Point,Bronx,2
Intervale Av,Longwood,Bronx,2
Prospect Av,Melrose South-Mott Haven North,Bronx,2
Jackson Av,Melrose South-Mott Haven North,Bronx,2
